week,episode,weeks_after_trough_month_end,raw_phase,filtered_winner,official_phase,confirmation_pending,transition_watch,raw_recovery,raw_expansion,raw_slowdown,raw_contraction,filtered_recovery,filtered_expansion,filtered_slowdown,filtered_contraction,phase_separation,evidence_quality_high,activity_level,activity_momentum,negative_level_domains,positive_momentum_domains,confirming_domains,concentration,production__weeks_since_release,employment__weeks_since_release,real_income__weeks_since_release,consumption__weeks_since_release,labor_stress__weeks_since_release
2001-12-07,recession_2001,1,contraction,contraction,contraction,0,none,0.22670955615270688,0.007732885686234453,0.04180424823659169,0.723753309924467,0.058000172688846524,0.0004174390317495389,0.009526012624496252,0.9320563756549077,0.8740562029660612,True,-1.9989016177724301,-0.579429630265458,4,1,4,0.4421101876521677,2.0,4.0,1.0,2.0,0.0
2001-12-14,recession_2001,2,slowdown,slowdown,contraction,1,toward_slowdown,0.24083481768475104,0.28513218539261215,0.4740321007930826,8.961295541758178e-07,0.35695586477950514,0.08940071426412458,0.5536377280497896,5.692906580712659e-06,0.19668186327028447,True,-2.0219647510284284,-0.11919032820445015,4,1,4,0.4243859370752054,3.0,0.0,2.0,3.0,0.0
2001-12-21,recession_2001,3,contraction,contraction,contraction,0,none,0.10050597220917758,0.0015168250564882076,0.013350685903228167,0.8846265168311062,0.20743706038859674,0.0019714831691940425,0.04083769485340298,0.7497537615888062,0.5423167012002095,True,-2.109379682841573,-0.7696745453432597,4,0,4,0.3936805222834075,0.0,1.0,3.0,0.0,0.0
2001-12-28,recession_2001,4,contraction,contraction,contraction,0,none,0.21410394824488588,0.0041598135326286765,0.02533464238170689,0.7564015958407786,0.10729918017286479,0.00044695046755220165,0.006694906436095538,0.8855589629234875,0.7782597827506227,True,-2.109379682841573,-0.6259481641372576,4,0,4,0.36637113023260365,1.0,2.0,4.0,1.0,0.0
2002-01-04,recession_2001,5,contraction,contraction,contraction,0,none,0.21459633445434204,0.014390504773551853,0.04407646380022016,0.726936696971886,0.07764753645845875,0.0010551795719480957,0.010035390348585803,0.9112618936210073,0.8336143571625485,True,-2.0916193066536963,-0.357677358759281,4,0,4,0.34779424498590167,2.0,3.0,0.0,2.0,0.0
2002-01-11,recession_2001,6,slowdown,slowdown,contraction,1,toward_slowdown,0.22598002009151028,0.25092221265729353,0.5230968633311158,9.039200803660411e-07,0.3434334411898882,0.08058527913603294,0.5759758947769772,5.384897101629582e-06,0.23254245358708897,True,-2.092271937656386,-0.20751580803600253,4,0,4,0.3357275366403314,3.0,0.0,1.0,3.0,0.0
2002-01-18,recession_2001,7,slowdown,slowdown,contraction,2,toward_slowdown,0.24551153818296478,0.37697483582526253,0.37751271246046786,9.135313048668458e-07,0.22620876762356265,0.22026767539354608,0.5535231956810589,3.613018324674852e-07,0.3273144280574962,True,-2.050368460899341,0.07865131903039044,4,1,4,0.3467453681955672,0.0,1.0,2.0,0.0,0.0
2002-01-25,recession_2001,8,expansion,slowdown,slowdown,0,toward_expansion,0.2476773143956571,0.41950691096074,0.33281485305359587,9.215900070536078e-07,0.16821849665260974,0.35563573950314403,0.47614544862566033,3.152185859204703e-07,0.1205097091225163,True,-2.004756726234546,0.16955978750760997,4,1,4,0.3369320093934878,1.0,2.0,3.0,1.0,0.0
2002-02-01,recession_2001,9,expansion,expansion,slowdown,1,toward_expansion,0.24982939843599167,0.4617700956632728,0.28839957630297397,9.295977616222946e-07,0.14229039629651213,0.49667309576931146,0.3610362406182516,2.673159249136922e-07,0.13563685515105983,True,-1.9633285017608748,0.2629299064512489,4,1,4,0.3325160508541062,2.0,3.0,0.0,2.0,0.0
2002-02-08,recession_2001,10,expansion,expansion,slowdown,2,toward_expansion,0.24890184436631332,0.4435545482061625,0.3075426812811266,9.26146397642096e-07,0.13131041764080711,0.5651101291076372,0.3035792396722803,2.1357927533212586e-07,0.26153088943535696,True,-1.9653650536276992,0.22213836857436609,4,1,4,0.33259815766965584,3.0,0.0,1.0,3.0,0.0
2002-02-15,recession_2001,11,expansion,expansion,expansion,0,none,0.2560879614770745,0.5196840312285768,0.2242270544089108,9.528854380542307e-07,0.12687038761340047,0.6854491385002482,0.18768028482110233,1.8906524874761143e-07,0.4977688536791459,True,-1.93748841841178,0.38262036461589216,4,1,4,0.31919197520889786,4.0,1.0,2.0,0.0,0.0
2002-02-22,recession_2001,12,expansion,expansion,expansion,0,none,0.2537031499018843,0.45276135267364975,0.29353455341274537,9.440117205651509e-07,0.13072198148430306,0.6829920932004336,0.1862857715181491,1.5379711419303312e-07,0.49670632168228457,True,-1.9026947261055676,0.2236933230318822,4,1,4,0.3181411991233189,0.0,2.0,3.0,0.0,0.0
2002-03-01,recession_2001,13,expansion,expansion,expansion,0,none,0.2527823248594078,0.42692112321314524,0.32029561134205214,9.405853948257035e-07,0.13517542767288898,0.657765502408064,0.20705891231791243,1.5760113461673858e-07,0.45070659009015157,True,-1.886175306329537,0.16670371068266576,4,1,4,0.30795006187389284,1.0,3.0,0.0,1.0,0.0
2002-03-08,recession_2001,14,expansion,expansion,expansion,0,none,0.2546743588485437,0.4800154572843152,0.2653092362416198,9.476255212969068e-07,0.1318877568903535,0.6937059592841381,0.1744061239809214,1.598445869703421e-07,0.5192998353032168,True,-1.8643330663229989,0.2859666329432212,4,1,4,0.29985101710532797,2.0,0.0,1.0,2.0,0.0
2002-03-15,recession_2001,15,expansion,expansion,expansion,0,none,0.25509292389021515,0.4917612463560883,0.2531448805707239,9.491829726147541e-07,0.1296318624715783,0.721367312824934,0.14900067780492793,1.4689855978941614e-07,0.5723666350200061,True,-1.858633243349739,0.313720522706019,4,1,4,0.3007705625411839,3.0,1.0,2.0,3.0,0.0
2002-03-22,recession_2001,16,expansion,expansion,expansion,0,none,0.2531830294568471,0.4381657117789222,0.308650316687842,9.420763886766404e-07,0.13471231965662925,0.6892959769494891,0.17599155895564828,1.4443823347009247e-07,0.5133044179938409,True,-1.8255219079579852,0.1913056010913983,4,1,4,0.30622594213912446,0.0,2.0,3.0,0.0,0.0
2002-03-29,recession_2001,17,expansion,expansion,expansion,0,none,0.25203676046834483,0.405999065217379,0.3419632365030743,9.378112017426785e-07,0.13979589148900753,0.6416226383243784,0.21858131185498678,1.583316272942507e-07,0.42304132646939163,True,-1.83413257766311,0.1215431527802171,4,1,4,0.3047883086359563,1.0,3.0,0.0,1.0,0.0
2002-04-05,recession_2001,18,slowdown,expansion,expansion,0,none,0.2495951878006297,0.33748355459597257,0.4129203288771175,9.287262801883896e-07,0.14685199109475464,0.5390954308120451,0.31405239700496784,1.8108823243719768e-07,0.2250430338070773,True,-1.8892375584460623,-0.024189210040237275,4,1,4,0.31843931126923425,2.0,4.0,1.0,2.0,0.0
2002-04-12,recession_2001,19,slowdown,slowdown,expansion,1,toward_slowdown,0.24749080382514999,0.27843024664817984,0.474078028630656,9.208960142331162e-07,0.14486537671494853,0.40034428419335094,0.4547901253855422,2.1370615844165456e-07,0.05444584119219126,False,-1.9324546204394466,-0.15317027496781987,4,1,4,0.3312152726923885,3.0,0.0,2.0,3.0,0.0
2002-04-19,recession_2001,20,slowdown,slowdown,expansion,2,toward_slowdown,0.24717901707290196,0.26968087423844805,0.4831391889527726,9.197358774805655e-07,0.12723869210889716,0.30293213950382103,0.5698289249168057,2.4347047624092505e-07,0.26689678541298467,True,-1.9298732304130592,-0.1730213689164578,4,1,4,0.35224050402840523,0.0,1.0,3.0,0.0,0.0
2002-04-26,recession_2001,21,slowdown,slowdown,slowdown,0,none,0.24671185630755227,0.25657139000991813,0.49671583568492467,9.179976048653108e-07,0.10548345514266083,0.23150466454617297,0.663011622038718,2.5827244835898975e-07,0.43150695749254503,True,-1.9122284720432021,-0.2032874472516478,4,1,4,0.3498042217681375,1.0,2.0,4.0,1.0,0.0
2002-05-03,recession_2001,22,slowdown,slowdown,slowdown,0,none,0.2476961012621871,0.2841913116018714,0.4681116654760298,9.216599116732543e-07,0.08839207551656723,0.21746665611915295,0.694140994022384,2.743418958380193e-07,0.4766743379032311,True,-1.8627426553211996,-0.140233729458301,4,1,4,0.3276195232626135,2.0,3.0,0.0,2.0,0.0
2002-05-10,recession_2001,23,slowdown,slowdown,slowdown,0,none,0.25663574290742086,0.35391902071170767,0.38944428145717697,9.549236945392404e-07,0.08650916371772895,0.27767586719822157,0.635814664011196,3.0507285354173585e-07,0.35813879681297445,True,-1.8153668808414163,-0.009106483552506529,4,1,4,0.3138513840753254,3.0,0.0,1.0,3.0,0.0
2002-05-17,recession_2001,24,slowdown,slowdown,slowdown,0,none,0.25651762428000946,0.34761935472295324,0.3958620665128539,9.54484183367477e-07,0.08963693793068153,0.3094722906429387,0.6008904854760952,2.859502845076889e-07,0.29141819483315656,True,-1.7675530405042754,-0.022495759837058038,4,1,4,0.3046013766589219,0.0,1.0,2.0,0.0,0.0
2002-05-24,recession_2001,25,slowdown,slowdown,slowdown,0,toward_expansion,0.25679700347358625,0.36251959224105057,0.38068244876162943,9.555237338552045e-07,0.0947687663895445,0.34693410110651063,0.558296852867156,2.7963678895390725e-07,0.2113627517606454,True,-1.7508562680546889,0.009146142742052185,4,1,4,0.3071097397880534,1.0,2.0,3.0,1.0,0.0
2002-05-31,recession_2001,26,expansion,expansion,slowdown,1,toward_expansion,0.26380342203345075,0.506614401052176,0.22958119532024474,9.81594128496561e-07,0.10969950449327061,0.5521586452354839,0.33814155701507437,2.932561711333895e-07,0.2140170882204095,True,-1.7237683910848816,0.3089198759157869,4,1,4,0.3119357656570929,2.0,3.0,0.0,2.0,0.0
2002-06-07,recession_2001,27,expansion,expansion,slowdown,2,toward_expansion,0.32896380287621174,0.5149525492484083,0.15608267082732,9.770480599605763e-07,0.15442593265056118,0.698371485291109,0.14720237562011762,2.0643821199045178e-07,0.5439455526405479,True,-1.689903784194146,0.46589679755814173,4,1,4,0.3181867618250052,3.0,4.0,1.0,3.0,0.0
2002-06-14,recession_2001,28,expansion,expansion,expansion,0,none,0.44152042311995837,0.4922135021560962,0.06626513231450824,9.424094371836117e-07,0.24248869876777288,0.7220182307903906,0.035492926516745786,1.439250906991588e-07,0.4795295320226177,True,-1.6398559883866564,0.7826485749310115,4,2,4,0.3180048685446393,4.0,0.0,2.0,4.0,0.0
2002-06-21,recession_2001,29,recovery,expansion,expansion,0,none,0.5189060744893897,0.43878356775870775,0.04230942543623589,9.323156666639781e-07,0.35687873531055136,0.6297377393808727,0.013383395147080734,1.3016149509649515e-07,0.2728590040703214,True,-1.548306361773484,0.9129102928838971,4,2,4,0.33320013008931404,0.0,1.0,3.0,0.0,0.0
2002-06-28,recession_2001,30,recovery,recovery,expansion,1,toward_recovery,0.5945472394856959,0.3639649833164647,0.04148685474840179,9.224494376176457e-07,0.5179486027624922,0.4715286010680279,0.010522645434310834,1.5073516890438908e-07,0.04642000169446431,False,-1.520086367302341,0.8476071096465814,4,2,4,0.3393859008660046,1.0,2.0,4.0,1.0,0.0
2002-07-05,recession_2001,31,recovery,recovery,recovery,0,none,0.6830816886911482,0.28893497967450327,0.027982457099206794,8.745351418277084e-07,0.711959569456571,0.28262180742250137,0.005418457354270491,1.6576665707794975e-07,0.42933776203406965,True,-1.5038005893180704,0.9112037071254819,4,3,4,0.3430613638707118,2.0,3.0,0.0,2.0,0.0
